year,country,continent,industry,enscore,enero91v,ccii,gwe,gwghg
2011,argentina,south america,services,,,-1.1955299,,
2012,argentina,south america,services,,,-0.88176137,,
2013,argentina,south america,services,,,-0.99763423,,
2014,argentina,south america,services,,,-0.93008739,,
2015,argentina,south america,services,,,-0.97186214,,
2016,argentina,south america,services,,,-0.68081659,,
2017,argentina,south america,services,,,-0.18797544,,
2018,argentina,south america,services,,,-0.53039455,,
2019,argentina,south america,services,,,1.4093807,,
2020,argentina,south america,services,,,1.3852117,,
2021,argentina,south america,services,,,1.2393923,,
2022,argentina,south america,services,,,0.92781019,,
2011,argentina,south america,power generation,,,-2.0609245,,
2012,argentina,south america,power generation,,,,,
2013,argentina,south america,power generation,,,,,
2014,argentina,south america,power generation,,,,,
2015,argentina,south america,power generation,,,,,
2016,argentina,south america,power generation,6.0799999,,,,
2017,argentina,south america,power generation,28.92,,,-1.868144,
2018,argentina,south america,power generation,26.190001,,,0.53944153,
2019,argentina,south america,power generation,18.110001,,,1.1860372,
2020,argentina,south america,power generation,32.349998,,,-1.3158414,
2021,argentina,south america,power generation,40.450001,,,-0.99963808,
2022,argentina,south america,power generation,38.060001,,-1.154204,-0.60763609,
2011,australia,oceania,services,,,,,
2012,australia,oceania,services,,,,,
2013,australia,oceania,services,,,,,
2013,australia,oceania,services,19.5,,,,
2014,australia,oceania,services,19.5,,,0.13183627,
2014,australia,oceania,services,19.26,,,0.13183627,
2015,australia,oceania,services,19.26,,,-1.7621918,
2015,australia,oceania,services,40.369999,,,-1.7621918,
2016,australia,oceania,services,40.369999,,,0.40340093,
2016,australia,oceania,services,39.380001,,,0.40340093,
2017,australia,oceania,services,39.380001,,,-0.000159149,
2017,australia,oceania,services,41.630001,,,-0.000159149,
2018,australia,oceania,services,41.630001,,0.000432269,-1.0564357,
2018,australia,oceania,services,54.849998,,0.000432269,-1.0564357,
2019,australia,oceania,services,54.849998,,0.073158182,-0.47018832,
2019,australia,oceania,services,63.43,1.73,0.073158182,-0.47018832,
2020,australia,oceania,services,63.43,1.73,,-0.32754827,-0.049588285
2020,australia,oceania,services,68.489998,0.79000002,,-0.32754827,-0.049588285
2021,australia,oceania,services,68.489998,0.79000002,,,
2021,australia,oceania,services,,,,,
2022,australia,oceania,services,,,,,
2011,australia,oceania,hospitality,8.6700001,,,-0.36407286,
2011,australia,oceania,hospitality,10.24,,,-0.36407286,
2012,australia,oceania,hospitality,10.24,,,-0.26425466,
2012,australia,oceania,hospitality,13.55,,,-0.26425466,
2013,australia,oceania,hospitality,13.55,,-1.4393348,-0.52188486,
2013,australia,oceania,hospitality,3.95,,-1.4393348,-0.52188486,
2014,australia,oceania,hospitality,3.95,,-1.4834157,-1.3047414,
2014,australia,oceania,hospitality,4.7199998,,-1.4834157,-1.3047414,
2015,australia,oceania,hospitality,4.7199998,,-1.9884858,-1.2639755,
2015,australia,oceania,hospitality,1.3,,-1.9884858,-1.2639755,
2016,australia,oceania,hospitality,1.3,,-2.1101084,-1.8045043,
2016,australia,oceania,hospitality,1.28,,-2.1101084,-1.8045043,
2017,australia,oceania,hospitality,1.28,,,0.062429398,
2017,australia,oceania,hospitality,0,,,0.062429398,
2018,australia,oceania,hospitality,0,,,0.43544465,
2019,australia,oceania,hospitality,0,,,-1.2897838,
2019,australia,oceania,hospitality,17.32,,,-1.2897838,
2020,australia,oceania,hospitality,17.32,,,-2.9435194,
2020,australia,oceania,hospitality,48.32,,,-2.9435194,
2021,australia,oceania,hospitality,48.32,,,0.47008795,
2021,australia,oceania,hospitality,47.549999,,,0.47008795,
2022,australia,oceania,hospitality,47.549999,,,0.031380519,
2011,australia,oceania,infrastructure,42.25,,-1.2939789,-2.1879935,
2012,australia,oceania,infrastructure,42.52,,,0.31189641,
2013,australia,oceania,infrastructure,44,,,-0.14630227,
2014,australia,oceania,infrastructure,49.939999,,,-0.51681167,
2015,australia,oceania,infrastructure,42.830002,,,0.82140207,
2016,australia,oceania,infrastructure,,,,,
2017,australia,oceania,infrastructure,,,,,
2018,australia,oceania,infrastructure,,,,,
2019,australia,oceania,infrastructure,,,,,
2020,australia,oceania,infrastructure,,,,,
2021,australia,oceania,infrastructure,,,,,
2022,australia,oceania,infrastructure,,,,,
2011,australia,oceania,power generation,67.989998,6688.48,1.5574275,0.95687222,1.1371531
2011,australia,oceania,power generation,69.199997,6695.77,1.5574275,0.95687222,1.1371531
2012,australia,oceania,power generation,69.199997,6695.77,1.4373406,2.7118387,2.8257928
2012,australia,oceania,power generation,54.18,7610.0601,1.4373406,2.7118387,2.8257928
2013,australia,oceania,power generation,54.18,7610.0601,-2.7345078,-1.9227018,-4.418386
2013,australia,oceania,power generation,50.52,6317.7998,-2.7345078,-1.9227018,-4.418386
2014,australia,oceania,power generation,50.52,6317.7998,1.3646196,2.3664529,5.1582074
2014,australia,oceania,power generation,41.919998,10617.4,1.3646196,2.3664529,5.1582074
2015,australia,oceania,power generation,41.919998,10617.4,0.24737856,0.79107773,1.1908072
2015,australia,oceania,power generation,39.810001,11219.6,0.24737856,0.79107773,1.1908072
2016,australia,oceania,power generation,39.810001,11219.6,0.12727396,0.30563849,-4.4935417
2016,australia,oceania,power generation,39.029999,7623.0898,0.12727396,0.30563849,-4.4935417
2017,australia,oceania,power generation,39.029999,7623.0898,0.37649649,0.38613319,0.46234787
2017,australia,oceania,power generation,41.459999,7566.0898,0.37649649,0.38613319,0.46234787
2018,australia,oceania,power generation,41.459999,7566.0898,1.0031289,0.11505245,1.0385793
2018,australia,oceania,power generation,51.080002,7479.3301,1.0031289,0.11505245,1.0385793
2019,australia,oceania,power generation,51.080002,7479.3301,0.860897,2.6445291,1.8440322
2019,australia,oceania,power generation,37.66,8226.1904,0.860897,2.6445291,1.8440322
2020,australia,oceania,power generation,37.66,8226.1904,1.100871,2.15413,0.96326077
2020,australia,oceania,power generation,29.66,8041.02,1.100871,2.15413,0.96326077
2021,australia,oceania,power generation,29.66,8041.02,1.6092992,1.4834148,1.216239
2021,australia,oceania,power generation,31.690001,7283.3599,1.6092992,1.4834148,1.216239
2022,australia,oceania,power generation,31.690001,7283.3599,0.98901194,1.1613084,1.3447678
2011,australia,oceania,materials,31.43,,,-0.31096298,
2011,australia,oceania,materials,31.120001,,,-0.31096298,
2012,australia,oceania,materials,31.120001,,,0.27382815,
2012,australia,oceania,materials,30.379999,,,0.27382815,
