country,year,enscore,enero91v,ccii,gwe,gwghg
argentina,2011,,,-1.6282272,,
argentina,2012,,,-0.88176137,,
argentina,2013,,,-0.99763423,,
argentina,2014,,,-0.93008739,,
argentina,2015,,,-0.97186214,,
argentina,2016,6.0799999,,-0.68081659,,
argentina,2017,28.92,,-0.18797544,-1.868144,
argentina,2018,26.190001,,-0.53039455,0.53944153,
argentina,2019,18.110001,,1.4093807,1.1860372,
argentina,2020,32.349998,,1.3852117,-1.3158414,
argentina,2021,40.450001,,1.2393923,-0.99963808,
argentina,2022,38.060001,,-0.113196905,-0.60763609,
australia,2011,43.25497284,477.3640484,0.066359179,-0.352466035,0.415233108
australia,2012,42.84368417,429.8392949,0.368374325,0.429930683,0.71171882
australia,2013,42.12345349,570.5484996,-0.137893676,-0.037264806,0.230559986
australia,2014,40.62349268,588.6666673,-0.019987155,-0.186679552,0.63767681
australia,2015,42.87809744,642.5142445,-0.136310011,-0.077863196,0.099273361
australia,2016,45.10484679,1135.803,0.007584918,0.174269556,0.234210358
australia,2017,46.64607333,1350.08934,-0.050397294,-0.023425748,0.266219216
australia,2018,49.58721316,1213.144862,0.0996027,0.033345169,0.402101734
australia,2019,52.09211093,1472.533282,0.207566223,0.211581076,0.567725182
australia,2020,54.52642049,1560.093335,-0.150695149,-0.023893973,-3.63E-05
australia,2021,56.66547633,1274.714691,0.340714526,0.347952341,0.264337252
australia,2022,57.4322989,1153.202501,-0.118591174,0.173338552,0.182710473
austria,2011,57.6210006,609.1442577,-0.480697081,-0.387126341,-0.235702038
austria,2012,56.18909055,743.5216501,0.002745746,0.589243575,0.61702509
austria,2013,57.86818118,713.6583319,0.142064945,0.123707633,0.585721663
austria,2014,56.67272691,619.1133363,-0.066773333,0.609875128,0.321186537
austria,2015,58.08545464,1188.841986,0.340920795,0.501261985,1.172126568
austria,2016,64.56272691,1140.783354,0.519383535,0.12876779,1.108365291
austria,2017,62.13785786,1389.518741,0.296782086,0.34561685,0.697051983
austria,2018,59.36142981,1757.576123,0.337369016,0.517741798,0.340646787
austria,2019,61.46952424,1650.149338,0.332359013,0.196215704,-0.179938337
austria,2020,64.46999971,1520.917088,0.117247767,0.230034066,0.016351706
austria,2021,64.457619,1133.635551,0.937306955,0.86479816,0.77472679
austria,2022,68.01647029,771.2612648,0.617971579,0.542171411,0.682531989
belgium,2011,52.0089997,52.68428559,0.319773332,0.326587449,0.369568678
belgium,2012,52.99238133,252.4124976,0.439220615,0.241382384,0.53356918
belgium,2013,52.18904717,244.7439992,-0.05578322,0.055422285,-0.123573648
belgium,2014,50.26090886,305.5966668,-0.024479869,0.164581447,0.2296987
belgium,2015,53.23956447,413.8611186,-0.007802119,-0.033598956,0.139378454
belgium,2016,55.00818159,427.8300013,0.4101795,0.28012577,0.435646231
belgium,2017,56.81038523,1008.297288,0.32434932,-0.344009224,0.514197581
belgium,2018,61.21285736,964.7983259,0.311975163,-0.000823286,0.355668848
belgium,2019,65.96571354,642.5847309,0.626299248,0.12789651,-0.107208682
belgium,2020,70.09428521,649.9510088,-0.136290794,-0.24192929,-0.023452893
belgium,2021,70.56178546,1222.46455,0.447078256,0.509628872,0.93875847
belgium,2022,69.16360012,1278.107276,0.345495078,0.424170841,0.271744842
